sample	mean_coverage
AML020	11192.99
AML069	18985.32
AVL13	0
AVL17	0.01
Cam103	1133.3
Cam107	0.24
Cam117	2240.04
Cam141	822.66
Cam166	0.02
Cam168	6379.61
Cam16	0.13
Cam176	2784.73
Cam178	0.05
Cam183	0.19
Cam184	1543.15
Cam188	1499.59
Cam196	0
Cam205	0
Cam210	0.05
Cam221	0
Cam236	0.02
Cam239	2144.64
Cam240	0.02
Cam247	0.19
Cam250	0.02
Cam26	966.77
Cam29	1694.68
Cam38	0.33
MIMam052	0.55
MIMam144	0.07
MMCup011	10053.96
MSMun030	2.55
MSMun063	0.2
MSMun316	3.13
ZiMG017	0.07
ZiMM007	0.12
ZLSY047	2665.57
ZML073	5776.88
ZPC002	20992.84
